id,unidade_consumidora,status,mes,valor_cobrado,valor_economia,valor_fatura_concessionaria
25880,43942620,PAGO,2024-01-01,777.14,86.33,896.89
26030,50877658,PAGO,2024-01-01,780.47,116.63,2884.46
26091,43100386,PAGO,2024-01-01,161.83,28.54,333.79
26124,9500499,PAGO,2024-01-01,2342.29,260.26,401.8
26075,52022320,PAGO,2024-01-01,1455.15,256.79,5063.1
26174,4002118330,PAGO,2024-01-01,2536.49,264.71,0
26489,24880,PAGO,2024-01-01,517.13,91.25,224.2
26484,30930,PAGO,2024-01-01,9449.3,1667.52,2563.17
26519,12723576,PAGO,2024-01-01,940.27,0,290.62
26581,3303659,PAGO,2024-01-01,940.65,93.03,0
26662,935132968,PAGO,2024-01-01,1034.51,114.94,0
26618,4003514233,PAGO,2024-01-01,1641.64,171.32,0
27010,265098,PAGO,2024-01-01,229.96,34.36,0
25891,1131729,PAGO,2024-01-01,12210.09,1356.67,0
26111,6170390,PAGO,2024-01-01,3940.52,695.38,0
26072,20965428,PAGO,2024-01-01,1371.33,241.99,4145.29
26381,11320929,PAGO,2024-01-01,3102.72,306.86,421.63
26356,29920842,PAGO,2024-01-01,1780.74,176.09,289.67
26516,4000456463,PAGO,2024-01-01,1744.71,182.07,251.06
26729,949168636,VENCIDO,2024-01-01,1719.04,190.99,0
26604,4000504309,PAGO,2024-01-01,3831.2,399.83,0
25908,32067590,PAGO,2024-01-01,5351.08,594.56,662.24
25823,42803,PAGO,2024-01-01,2737.95,304.22,629.87
25830,32385079,PAGO,2024-01-01,1949.9,216.64,699.46
25985,99279738,PAGO,2024-01-01,912.28,90.22,405.51
26365,6329578,PAGO,2024-01-01,73.33,8.15,116.49
26521,4000538964,VENCIDO,2024-01-01,938.39,97.93,2347.08
26588,86465937,PAGO,2024-01-01,2297.24,227.19,0
26241,4000436226,PAGO,2024-01-01,353.57,62.38,110.26
27679,6199925,PAGO,2024-01-01,2545.05,449.12,0
25876,42661082,PAGO,2024-01-01,679.34,75.49,1498.8
25879,23779,PAGO,2024-01-01,679.34,75.49,872.35
25999,1117173,PAGO,2024-01-01,380.9,42.31,423.44
26104,8645680,VENCIDO,2024-01-01,99.59,3.13,100.84
26114,7741430,PAGO,2024-01-01,538.66,59.85,407.3
26047,4646193,PAGO,2024-01-01,750.86,132.5,361.62
26211,67296890,PAGO,2024-01-01,4502.29,500.25,0
26377,47713439,VENCIDO,2024-01-01,1292.44,127.83,460.69
26383,18920344,PAGO,2024-01-01,4395.79,434.74,0
26579,77186036,PAGO,2024-01-01,1021.92,101.07,0
26550,26288133,PAGO,2024-01-01,217.35,38.34,103.76
26289,3870847,PAGO,2024-01-01,4122.83,407.75,0
26456,57353662,PAGO,2024-01-01,1773.9,235.04,1785.49
26746,46672054,PAGO,2024-01-01,777.13,86.35,1224.35
26151,7282389,PAGO,2024-01-01,1511.79,167.97,298.91
27013,5906725,PAGO,2024-01-01,2502.06,373.87,0
28709,42829803,PAGO,2024-01-01,126.51,20.75,0
28708,30674618,PAGO,2024-01-01,491.38,122.85,0
28696,9605126,PAGO,2024-01-01,268.51,67.13,0
25809,844489,PAGO,2024-01-01,7311.26,812.36,0
25933,26436281,PAGO,2024-01-01,3890.13,432.23,521
25926,27389236,PAGO,2024-01-01,1983.98,220.44,625.69
25915,1047175,PAGO,2024-01-01,2622.79,291.42,913.77
26056,916471,PAGO,2024-01-01,3355.55,592.15,0
26296,54387946,PAGO,2024-01-01,1217.03,120.37,272.03
26684,935050442,PAGO,2024-01-01,901.33,100.15,0
26762,31059623,PAGO,2024-01-01,1249.89,138.87,507.52
26840,4121929,PAGO,2024-01-01,185.51,20.61,0
26780,26644658,PAGO,2024-01-01,6606.89,734.1,0
26820,21801135,PAGO,2024-01-01,1250.5,138.93,2284.24
28561,1446797,PAGO,2024-01-01,293.64,51.81,214.9
25842,46059492,PAGO,2024-01-01,1262.19,140.24,526.14
26517,20462808,PAGO,2024-01-01,2164.92,225.92,366.85
26527,14477785,PAGO,2024-01-01,2550.31,266.15,452.25
26679,926414946,PAGO,2024-01-01,1132.31,125.8,0
26451,3011100,PAGO,2024-01-01,281.69,42.08,0
26691,923147192,PAGO,2024-01-01,167.29,18.57,0
26758,51410580,PAGO,2024-01-01,497.66,87.82,0
26786,3491722,PAGO,2024-01-01,252.7,28.07,0
26837,55834873,PAGO,2024-01-01,2212.54,245.84,0
26894,56366326,VENCIDO,2024-01-01,217.42,32.49,166.6
25902,4750071,PAGO,2024-01-01,3399.91,377.77,1350.4
27126,41280530,PAGO,2024-01-01,1489.01,165.45,0
25898,12050950,PAGO,2024-01-01,5096.34,566.25,0
26208,108154050,PAGO,2024-01-01,181.59,20.18,0
26561,90659619,VENCIDO,2024-01-01,3288.67,325.25,0
26572,95700943,PAGO,2024-01-01,601.1,66.8,0
26889,53885870,PAGO,2024-01-01,236.51,26.28,491.26
27752,4000456462,PAGO,2024-01-01,232.3,41,73.71
28700,7186258,PAGO,2024-01-01,367.21,91.8,0
28701,21312215,PAGO,2024-01-01,475.99,119,0
25871,51102649,PAGO,2024-01-01,7771.22,863.47,3408.99
25808,25032551,PAGO,2024-01-01,7685.67,853.96,0
26189,4003006112,PAGO,2024-01-01,5109.98,533.29,0
26370,47015782,PAGO,2024-01-01,1361.59,134.67,0
26375,20609400,PAGO,2024-01-01,448.07,49.78,161.91
26399,46324510,PAGO,2024-01-01,1954.86,193.34,499.86
26565,82023930,PAGO,2024-01-01,1254.99,124.12,0
26591,89329368,PAGO,2024-01-01,1805.4,178.55,0
26589,88903010,PAGO,2024-01-01,5520.76,546.01,0
26436,101474750,PAGO,2024-01-01,781.12,103.5,0
26213,35635886,PAGO,2024-01-01,6629.71,1169.93,943.55
26264,42420549,PAGO,2024-01-01,169.77,10.34,90.33
25914,22370391,PAGO,2024-01-01,3319.5,368.83,495.71
28573,41334213,PAGO,2024-01-01,476.9,84.15,0
28842,31588596,PAGO,2024-01-01,1419.3,123.42,0
26002,40465103,PAGO,2024-01-01,2349.31,232.35,320.03
26040,88039145,PAGO,2024-01-01,1944.89,290.62,2138.18
26205,61310875,PAGO,2024-01-01,643.51,71.49,0
26539,9313699,VENCIDO,2024-01-01,116.65,0,135.27
26226,4001522094,PAGO,2024-01-01,745.95,131.63,202.39
26765,27284809,PAGO,2024-01-01,3630.08,403.34,525.38
26872,51676726,PAGO,2024-01-01,237.28,26.37,0
27675,42518431,PAGO,2024-01-01,4025.35,710.35,0
34311,3278670,VENCIDO,2024-01-01,803.36,125.38,0
25989,9932208,PAGO,2024-01-01,4711.74,466,1637.96
26098,3666760,PAGO,2024-01-01,155.42,27.42,155.69
26192,35046856,PAGO,2024-01-01,1474.72,153.9,762.13
26416,9175091,PAGO,2024-01-01,12941.83,1279.96,1441.62
26244,4000062554,PAGO,2024-01-01,411.47,72.61,444.17
26658,945406139,PAGO,2024-01-01,1347.81,149.76,0
26757,25575180,PAGO,2024-01-01,278.82,49.19,0
26862,42199516,PAGO,2024-01-01,165.44,18.38,169.72
25984,47939354,PAGO,2024-01-01,2136.11,211.27,2897.56
26000,19706885,PAGO,2024-01-01,3064.06,303.03,644.14
27676,41962109,PAGO,2024-01-01,3038.93,536.29,0
25792,109427351,PAGO,2024-01-01,3521.08,391.23,2163.64
